Task,Name,EER
grabbing,P04,0.0386
grabbing,P05,0.0
grabbing,P06,0.0491
grabbing,P10,0.007
grabbing,P15,0.0807
grabbing,P01,0.1456
grabbing,P14,0.0684
grabbing,P08,0.0
grabbing,P11,0.0088
grabbing,P16,0.0596
grabbing,P02,0.0667
grabbing,P09,0.0754
grabbing,P07,0.0
grabbing,P12,0.0754
grabbing,P17,0.0246
grabbing,P03,0.0614
grabbing,P18,0.0684
grabbing,P13,0.1
grabbing,P19,0.0702
grabbing,P20,0.0
pointing,P04,0.0281
pointing,P05,0.0
pointing,P06,0.114
pointing,P10,0.0123
pointing,P15,0.1158
pointing,P01,0.1018
pointing,P14,0.0351
pointing,P08,0.0456
pointing,P11,0.1877
pointing,P16,0.0439
pointing,P02,0.2263
pointing,P09,0.1088
pointing,P07,0.1035
pointing,P12,0.0
pointing,P17,0.0351
pointing,P03,0.0789
pointing,P18,0.0368
pointing,P13,0.2895
pointing,P19,0.0684
pointing,P20,0.0
typing,P04,0.05
typing,P05,0.0263
typing,P06,0.0316
typing,P10,0.0
typing,P15,0.2263
typing,P01,0.0
typing,P14,0.0
typing,P08,0.0
typing,P11,0.1789
typing,P16,0.0211
typing,P02,0.1711
typing,P09,0.1105
typing,P07,0.0
typing,P12,0.0342
typing,P17,0.0
typing,P03,0.0053
typing,P18,0.0895
typing,P13,0.05
typing,P19,0.0
typing,P20,0.0
