Task,Name,EER
grabbing,P04,0.0088
grabbing,P05,0.0
grabbing,P06,0.0105
grabbing,P10,0.0
grabbing,P15,0.0175
grabbing,P01,0.0772
grabbing,P14,0.0
grabbing,P08,0.0018
grabbing,P11,0.007
grabbing,P16,0.0
grabbing,P02,0.0105
grabbing,P09,0.0
grabbing,P07,0.0035
grabbing,P12,0.0175
grabbing,P17,0.007
grabbing,P03,0.0772
grabbing,P18,0.0158
grabbing,P13,0.0298
grabbing,P19,0.0263
grabbing,P20,0.0
pointing,P04,0.1667
pointing,P05,0.0
pointing,P06,0.0596
pointing,P10,0.0
pointing,P15,0.0263
pointing,P01,0.0474
pointing,P14,0.0193
pointing,P08,0.0
pointing,P11,0.6298
pointing,P16,0.0246
pointing,P02,0.1333
pointing,P09,0.0175
pointing,P07,0.0596
pointing,P12,0.0
pointing,P17,0.0105
pointing,P03,0.0281
pointing,P18,0.0
pointing,P13,0.286
pointing,P19,0.1
pointing,P20,0.0
typing,P04,0.0158
typing,P05,0.0026
typing,P06,0.0105
typing,P10,0.0
typing,P15,0.05
typing,P01,0.0
typing,P14,0.0
typing,P08,0.0079
typing,P11,0.0526
typing,P16,0.0
typing,P02,0.1
typing,P09,0.0079
typing,P07,0.0
typing,P12,0.0789
typing,P17,0.0
typing,P03,0.0079
typing,P18,0.0289
typing,P13,0.0
typing,P19,0.05
typing,P20,0.0026
