Task,Name,EER
grabbing,P04,0.1833
grabbing,P05,0.0
grabbing,P06,0.5246
grabbing,P10,0.1386
grabbing,P15,0.0675
grabbing,P01,0.2991
grabbing,P14,0.1351
grabbing,P08,0.0535
grabbing,P11,0.0149
grabbing,P16,0.3175
grabbing,P02,0.0465
grabbing,P09,0.0702
grabbing,P07,0.0
grabbing,P12,0.2439
grabbing,P17,0.1386
grabbing,P03,0.0939
grabbing,P18,0.1132
grabbing,P13,0.1798
grabbing,P19,0.1246
grabbing,P20,0.0
